MB_CODE_2016,MB_CATEGORY_NAME_2016,SA1_MAINCODE_2016,SA1_7DIGITCODE_2016,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
60000373000,Residential,60203106411,6106411,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1488
60000374000,Residential,60203106411,6106411,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1809
60000375000,Residential,60203106411,6106411,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1635
60000380000,Parkland,60203106412,6106412,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,7.4774
60000390000,Residential,60203106416,6106416,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2058
60000400000,Residential,60203106416,6106416,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,2.5856
60000410000,Residential,60203106416,6106416,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2339
60000420000,Residential,60203106403,6106403,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2116
60000430000,Residential,60203106403,6106403,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2174
60000440000,Residential,60203106407,6106407,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1213
60000450000,Residential,60203106407,6106407,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.183
60000460000,Residential,60203106407,6106407,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0761
60000470000,Residential,60203106404,6106404,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0425
60000480000,Residential,60203106404,6106404,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.075
60000490000,Residential,60203106407,6106407,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0418
60000500000,Residential,60203106407,6106407,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0626
60000510000,Residential,60203106407,6106407,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0537
60000520000,Residential,60203106419,6106419,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0682
60000530000,Residential,60203106419,6106419,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0561
60000540000,Residential,60203106415,6106415,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.3699
60000550000,Residential,60203106415,6106415,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2483
60000560000,Residential,60203106415,6106415,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.3697
60000570000,Residential,60203106415,6106415,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.325
60000580000,Residential,60203106415,6106415,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.141
60000590000,Residential,60203106415,6106415,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0432
60000600000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0601
60000610000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1009
60000620000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0382
60000630000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0444
60000640000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0393
60000650000,Parkland,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0205
60000660000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2269
60000670000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0779
60000680000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0614
60000690000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.2989
60000700000,Residential,60203106401,6106401,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1098
60000711000,Residential,60203106408,6106408,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0901
60000712000,Residential,60203106422,6106422,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.1848
60000730000,Parkland,60203106408,6106408,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0399
60000740000,Residential,60203106408,6106408,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0904
60000750000,Parkland,60203106422,6106422,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0176
60000760000,Residential,60203106408,6106408,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0793
60000770000,Residential,60203106408,6106408,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0441
60000780000,Residential,60203106408,6106408,602031064,61064,St Helens - Scamander,60203,North East,602,Launceston and North East,6RTAS,Rest of Tas.,6,Tasmania,0.0564
