SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
40601,Eyre Peninsula and South West,406,South Australia - Outback,4RSAU,Rest of SA,4,South Australia,235305.4796
40602,Outback - North and East,406,South Australia - Outback,4RSAU,Rest of SA,4,South Australia,642510.5005
40701,Fleurieu - Kangaroo Island,407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,7363.5796
40702,Limestone Coast,407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,21337.0782
40703,Murray and Mallee,407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,36782.081
49797,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),49799,Migratory - Offshore - Shipping (SA),4,South Australia,0
49999,No usual address (SA),499,No usual address (SA),49499,No usual address (SA),4,South Australia,0
50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,3664.3228
50102,Bunbury,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,5449.5135
50103,Manjimup,501,Bunbury,5RWAU,Rest of WA,5,Western Australia,15688.5752
50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,1032.8628
50301,Cottesloe - Claremont,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,48.7155
50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,43.5243
50401,Bayswater - Bassendean,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,44.6692
50402,Mundaring,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,685.4312
50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,1032.3312
50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,100.4725
50502,Stirling,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,99.326
50503,Wanneroo,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,684.2007
50601,Armadale,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,559.5261
50602,Belmont - Victoria Park,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,60.1099
50603,Canning,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,68.1881
50604,Gosnells,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,127.2975
50605,Kalamunda,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,283.8
50606,Serpentine - Jarrahdale,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,904.7637
50607,South Perth,506,Perth - South East,5GPER,Greater Perth,5,Western Australia,20.307
50701,Cockburn,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,148.2099
50702,Fremantle,507,Perth - South West,5GPER,Greater Perth,5,Western Australia,41.3304
