SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
12201,Manly,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,14.3455
12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,90.6495
12203,Warringah,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,149.2124
12301,Camden,123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,73.8688
12302,Campbelltown (NSW),123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,334.2221
12303,Wollondilly,123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,870.3604
12401,Blue Mountains,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,942.4079
12402,Blue Mountains - South,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,2456.9093
12403,Penrith,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,356.8585
12404,Richmond - Windsor,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,178.8387
12405,St Marys,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,33.1146
12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,33.0601
12502,Carlingford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,25.6874
12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,55.7969
12504,Parramatta,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,47.0914
12601,Pennant Hills - Epping,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,22.1743
12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,47.1626
12701,Bringelly - Green Valley,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,291.4688
12702,Fairfield,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,123.7701
12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,123.8297
12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,55.6181
12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,240.2471
19797,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,New South Wales,0
19999,No usual address (NSW),199,No usual address (NSW),19499,No usual address (NSW),1,New South Wales,0
20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,448.3487
20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,3666.673
20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,6172.4542
20201,Bendigo,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,287.4438
20202,Heathcote - Castlemaine - Kyneton,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,3920.9382
20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,7633.5242
20301,Barwon - West,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,2579.8385
20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,918.8917
20303,Surf Coast - Bellarine Peninsula,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,929.9691
20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,13959.3182
20402,Wangaratta - Benalla,204,Hume,2RVIC,Rest of Vic.,2,Victoria,6545.0857
20403,Wodonga - Alpine,204,Hume,2RVIC,Rest of Vic.,2,Victoria,13501.1315
20501,Baw Baw,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,3933.8416
20502,Gippsland - East,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,21713.8498
20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,4381.6191
20504,Latrobe Valley,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1479.6674
20505,Wellington,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,10044.7738
20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,20.4133
20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,14.0275
20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,18.215
20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,31.4622
20605,Port Phillip,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,25.6958
20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,11.9294
20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,20.6163
20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,60.0157
20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,48.6724
20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,38.0551
20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,37.2111
20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,40.7002
20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,69.8633
20804,Stonnington - East,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,13.722
20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,62.6133
20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,39.4436
20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,751.7682
20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,997.4394
21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,42.425
21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,992.107
21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,30.3779
21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,260.6847
21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,294.0954
21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,118.3019
21102,Manningham - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,66.5619
21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,61.1872
21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,26.5696
21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,1605.937
21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,1282.327
21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,116.503
21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,292.9259
21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,151.0513
21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,79.4733
21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,106.8497
21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,62.2158
21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,31.2254
21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,671.9436
21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,544.1195
21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,129.598
21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,724.1679
21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,38139.2062
21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,22082.4836
21503,Murray River - Swan Hill,215,North West,2RVIC,Rest of Vic.,2,Victoria,17851.0467
21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,4554.5687
21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,4046.3738
21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,2333.1626
21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,12946.1764
21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,7936.5548
21704,Warrnambool,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,5496.1773
29797,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),29799,Migratory - Offshore - Shipping (Vic.),2,Victoria,0
29999,No usual address (Vic.),299,No usual address (Vic.),29499,No usual address (Vic.),2,Victoria,0
30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,89.2959
30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,480.9783
30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,82.8584
30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,35.9309
30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,32.2389
30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,87.0319
30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,31.7473
30301,Carindale,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,26.5108
30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,27.565
30303,Mt Gravatt,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,79.3868
30304,Nathan,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,24.4776
30305,Rocklea - Acacia Ridge,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,85.2444
30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,22.16
30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,16.9755
30402,Kenmore - Brookfield - Moggill,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,134.6112
30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,21.2964
30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,96.768
30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,13.5589
30502,Brisbane Inner - East,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,15.5989
30503,Brisbane Inner - North,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,30.9461
30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,21.6355
30601,Cairns - North,306,Cairns,3RQLD,Rest of Qld,3,Queensland,160.3157
30602,Cairns - South,306,Cairns,3RQLD,Rest of Qld,3,Queensland,633.4659
30603,Innisfail - Cassowary Coast,306,Cairns,3RQLD,Rest of Qld,3,Queensland,5995.1825
30604,Port Douglas - Daintree,306,Cairns,3RQLD,Rest of Qld,3,Queensland,2421.0913
30605,Tablelands (East) - Kuranda,306,Cairns,3RQLD,Rest of Qld,3,Queensland,12127.9129
30701,Darling Downs (West) - Maranoa,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,141252.7846
30702,Darling Downs - East,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,16653.3007
30703,Granite Belt,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,8433.9715
30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,60225.3937
30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18328.135
30804,Biloela,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,28550.1865
30805,Gladstone,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10484.2862
30901,Broadbeach - Burleigh,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,33.6726
30902,Coolangatta,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,34.9725
30903,Gold Coast - North,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,40.6693
30904,Gold Coast Hinterland,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,827.9592
30905,Mudgeeraba - Tallebudgera,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,189.204
30906,Nerang,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,123.1533
30907,Ormeau - Oxenford,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,519.8616
30908,Robina,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,33.6325
30909,Southport,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,34.9594
30910,Surfers Paradise,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,19.801
31001,Forest Lake - Oxley,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,63.7142
