MB_CODE_2016,MB_CATEGORY_NAME_2016,SA1_MAINCODE_2016,SA1_7DIGITCODE_2016,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
70016415100,Residential,70102101602,7101602,701021016,71016,Coconut Grove,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0167
70016415200,Residential,70102101602,7101602,701021016,71016,Coconut Grove,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0134
70016415300,Residential,70102101608,7101608,701021016,71016,Coconut Grove,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0194
70016415400,Parkland,70205106605,7106605,702051066,71066,Gulf,70205,Katherine,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,2448.4938
70016415500,Other,70205106802,7106802,702051068,71068,Victoria River,70205,Katherine,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,135.7483
70016415600,Residential,70205106802,7106802,702051068,71068,Victoria River,70205,Katherine,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.2868
70016415700,Other,70203105807,7105807,702031058,71058,Daly,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,97.8595
70016415800,Residential,70103103407,7103407,701031034,71034,Virginia,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.2921
70016415900,Residential,70103103401,7103401,701031034,71034,Virginia,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.2129
70016416000,Residential,70103103407,7103407,701031034,71034,Virginia,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.3495
70016416100,Parkland,70104104112,7104112,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.2782
70016416200,Residential,70104104111,7104111,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0148
70016416300,Parkland,70104104113,7104113,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.3831
70016416400,Residential,70104104113,7104113,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.1786
70016416500,Residential,70104104112,7104112,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0245
70016416600,Residential,70104104101,7104101,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0265
70016416700,Residential,70104104101,7104101,701041041,71041,Palmerston - North,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.035
70016416800,Residential,70104103815,7103815,701041038,71038,Durack - Marlow Lagoon,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0719
70016416900,Residential,70104103819,7103819,701041038,71038,Durack - Marlow Lagoon,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.5603
70016417000,Parkland,70104103819,7103819,701041038,71038,Durack - Marlow Lagoon,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0435
70016417100,Residential,70201104911,7104911,702011049,71049,Mount Johns,70201,Alice Springs,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,0.2338
70016417200,Residential,70104103815,7103815,701041038,71038,Durack - Marlow Lagoon,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.0359
70016417300,Other,70203105708,7105708,702031057,71057,Alligator,70203,Daly - Tiwi - West Arnhem,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,2778.4115
70016417400,Primary Production,70205106602,7106602,702051066,71066,Gulf,70205,Katherine,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,18870.5604
70016417500,Primary Production,70205106602,7106602,702051066,71066,Gulf,70205,Katherine,702,Northern Territory - Outback,7RNTE,Rest of NT,7,Northern Territory,11961.5876
70016417600,Residential,70103103408,7103408,701031034,71034,Virginia,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.7197
70016417700,Residential,70103103409,7103409,701031034,71034,Virginia,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.7775
70016417800,Commercial,70103103408,7103408,701031034,71034,Virginia,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,0.3026
